date,close,high,low,open,preclose,pctChg,volume,amount
1997-08-20,1144.64,1144.65,1133.74,1135.05,1132.91,1.035385,250738300,2295861760.0
1997-08-21,1164.55,1165.22,1147.82,1148.39,1144.64,1.739414,400722400,3786447360.0
1997-08-22,1171.83,1174.49,1156.83,1159.39,1164.55,0.6251260000000001,433739900,3976633088.0
1997-08-25,1184.1,1184.33,1175.38,1175.45,1171.83,1.047082,453960200,4315869696.0
1997-08-26,1194.04,1194.13,1181.24,1186.07,1184.1,0.839461,554979200,5340460032.0
1997-08-27,1198.51,1199.47,1188.33,1195.43,1194.04,0.374357,543372000,4741972992.0
1997-08-28,1213.89,1216.08,1194.68,1201.06,1198.51,1.28326,694265700,6013709312.0
1997-08-29,1221.06,1223.07,1209.48,1214.31,1213.89,0.590667,731864300,6150700032.0
1997-09-01,1229.87,1230.07,1219.1,1224.18,1221.06,0.721499,679821500,5991917056.0
1997-09-02,1226.3,1232.69,1215.92,1228.48,1229.87,-0.29027,589620600,5091316224.0
1997-09-03,1240.82,1243.33,1223.46,1223.62,1226.3,1.184041,575803700,5352406016.0
1997-09-04,1251.3,1253.15,1245.64,1245.78,1240.82,0.8446110000000001,544704800,5370932224.0
1997-09-05,1251.55,1253.35,1241.22,1250.6,1251.3,0.019979,472278000,4392509952.0
1997-09-08,1255.23,1257.55,1245.74,1253.15,1251.55,0.29403,548425400,4763892224.0
1997-09-09,1231.03,1257.93,1230.44,1255.18,1255.23,-1.92793,454445300,4003547392.0
1997-09-10,1256.04,1256.04,1227.64,1230.43,1231.03,2.0316330000000002,539072300,4406576128.0
1997-09-11,1242.71,1264.49,1236.11,1260.52,1256.04,-1.0612780000000002,713364000,5885819392.0
1997-09-12,1208.7,1247.91,1207.83,1240.5,1242.71,-2.7367619999999997,431066500,3565977088.0
1997-09-15,1179.29,1211.68,1175.95,1205.9,1208.7,-2.433186,357837300,3010796288.0
1997-09-16,1187.22,1193.85,1181.17,1182.76,1179.29,0.672433,265195300,2091516288.0
1997-09-17,1167.56,1191.3,1162.24,1188.89,1187.22,-1.655962,242595200,1907661184.0
1997-09-18,1172.37,1181.75,1164.65,1169.67,1167.56,0.41196499999999997,230095600,1907745024.0
1997-09-19,1184.52,1185.09,1168.87,1174.77,1172.37,1.0363639999999998,201843600,1728449664.0
1997-09-22,1103.97,1185.1,1102.62,1184.49,1184.52,-6.8002270000000005,306264200,2424971008.0
1997-09-23,1041.97,1105.28,1025.13,1096.19,1103.97,-5.616095,429958900,3016464896.0
1997-09-24,1110.01,1110.11,1064.66,1064.66,1041.97,6.529942,496402600,4005446144.0
1997-09-25,1117.01,1130.13,1106.25,1118.37,1110.01,0.630625,433633300,3508322048.0
1997-09-26,1109.63,1118.94,1094.42,1118.69,1117.01,-0.660693,274170500,2176719104.0
1997-09-29,1084.07,1106.34,1079.34,1106.34,1109.63,-2.303476,243615300,2035517312.0
1997-09-30,1097.38,1100.39,1083.23,1083.41,1084.07,1.227786,204530000,1663257984.0
1997-10-06,1098.9,1105.41,1091.15,1100.7,1097.38,0.138514,156593200,1229231744.0
1997-10-07,1102.57,1102.71,1087.02,1098.29,1098.9,0.333963,176238400,1200352128.0
1997-10-08,1134.87,1140.94,1116.71,1122.97,1102.57,2.9295240000000002,293382300,2243619328.0
1997-10-09,1122.47,1138.66,1120.09,1134.59,1134.87,-1.092638,202503100,1541477504.0
1997-10-10,1130.79,1131.57,1120.51,1121.34,1122.47,0.741229,195193100,1501252224.0
1997-10-13,1119.82,1138.4,1117.39,1136.43,1130.79,-0.970126,189929200,1457219712.0
1997-10-14,1117.93,1118.02,1105.7,1116.3,1119.82,-0.168767,153806000,1150947840.0
1997-10-15,1125.78,1129.65,1116.43,1119.11,1117.93,0.702188,214522800,1749252224.0
1997-10-16,1150.31,1151.39,1131.39,1131.4,1125.78,2.178936,338623300,3291869696.0
1997-10-17,1176.49,1180.22,1153.9,1155.42,1150.31,2.275902,459994200,4774029824.0
1997-10-20,1187.37,1191.04,1173.56,1183.74,1176.49,0.9247850000000001,460895600,4829096448.0
1997-10-21,1191.87,1192.34,1179.57,1190.5,1187.37,0.37898899999999996,423214500,4282884608.0
1997-10-22,1177.52,1203.02,1168.45,1193.7,1191.87,-1.2039879999999998,608287100,6653317120.0
1997-10-23,1173.36,1186.07,1170.23,1178.98,1177.52,-0.353288,415478600,4283534592.0
1997-10-24,1178.31,1179.81,1164.06,1172.88,1173.36,0.421872,377592100,3588265472.0
1997-10-27,1235.83,1235.95,1183.65,1183.65,1178.31,4.881558,656390200,6914509312.0
1997-10-28,1177.92,1241.83,1172.89,1239.59,1235.83,-4.685912999999998,524823900,5535180288.0
1997-10-29,1184.09,1188.8,1162.98,1168.23,1177.92,0.523798,359100200,3588121600.0
1997-10-30,1174.85,1207.97,1173.65,1189.27,1184.09,-0.780345,481737700,5026978816.0
1997-10-31,1180.39,1181.51,1158.74,1164.91,1174.85,0.471553,305033700,2911499520.0
1997-11-03,1180.85,1185.07,1176.55,1181.16,1180.39,0.038967,256218200,2485202432.0
1997-11-04,1184.7,1190.47,1180.87,1180.87,1180.85,0.326034,236232800,2209279488.0
1997-11-05,1194.04,1194.67,1179.35,1186.1,1184.7,0.788393,491968000,4369456640.0
1997-11-06,1181.12,1203.09,1179.58,1198.66,1194.04,-1.082044,428156000,4356875264.0
1997-11-07,1195.14,1195.74,1177.63,1181.78,1181.12,1.187011,362750100,3603232256.0
1997-11-10,1185.78,1202.58,1178.63,1199.37,1195.14,-0.783171,399657400,4219254272.0
1997-11-11,1186.63,1187.74,1168.48,1183.42,1185.78,0.071681,299653600,2992529152.0
1997-11-12,1174.19,1193.53,1171.56,1190.01,1186.63,-1.048352,294910300,2883434752.0
1997-11-13,1185.02,1185.28,1157.29,1169.7,1174.19,0.9223450000000001,298194500,2927517952.0
1997-11-14,1197.83,1208.84,1181.69,1187.35,1185.02,1.080989,389376600,3854694400.0
1997-11-17,1191.33,1213.23,1190.43,1210.68,1197.83,-0.5426479999999999,272294300,2651546880.0
1997-11-18,1183.35,1193.31,1182.61,1190.26,1191.33,-0.669838,256370400,2459010304.0
1997-11-19,1181.63,1191.96,1175.78,1185.1,1183.35,-0.145348,265686000,2347195392.0
1997-11-20,1172.43,1189.5,1169.1,1182.74,1181.63,-0.7785810000000001,324575100,2811422464.0
1997-11-21,1158.56,1169.11,1152.01,1168.97,1172.43,-1.1830129999999999,292730100,2736144128.0
1997-11-24,1124.94,1150.56,1122.94,1150.42,1158.56,-2.901888,296675300,2616503808.0
