ts_code,name,result_2019
300270.SZ,中威电子,-0.30014858841010406
300276.SZ,三丰智能,-0.20874422325195857
300278.SZ,华昌达,-0.5379426644182124
300282.SZ,三盛教育,-0.46931515683357994
300284.SZ,苏交科,-0.37617899186472153
300287.SZ,飞利信,-0.06617647058823525
300288.SZ,朗玛信息,-0.300310844095359
300289.SZ,利德曼,-0.010091351071133342
300292.SZ,吴通控股,-0.14775725593667557
300295.SZ,三六五网,-0.11371445204755526
300297.SZ,蓝盾股份,-0.3354081873965374
300300.SZ,海峡创新,-0.64421761139524
300301.SZ,长方集团,-0.2038043478260869
300309.SZ,吉艾科技,-0.7338217338217338
300310.SZ,宜通世纪,-0.13097713097713098
300311.SZ,任子行,-0.13264194732055234
300324.SZ,旋极信息,-0.444331314181652
300329.SZ,海伦钢琴,-0.07670599647430835
300333.SZ,兆日科技,-0.05107835483920311
300334.SZ,津膜科技,-0.239946380697051
300335.SZ,迪森股份,-0.22841633155584698
300336.SZ,新文化,-0.46451612903225803
300338.SZ,开元教育,-0.4037994330384837
300339.SZ,润和软件,-0.003164556962025455
300340.SZ,科恒股份,-0.3838591175660164
300343.SZ,联创股份,-0.26039685331616413
300349.SZ,金卡智能,-0.26572124618478155
300351.SZ,永贵电器,-0.014423076923076976
300353.SZ,东土科技,-0.34065730776549186
300356.SZ,光一科技,-0.36636636636636644
300359.SZ,全通教育,-0.04538087520259331
300365.SZ,恒华科技,-0.4337681825093707
300366.SZ,创意信息,-0.10987654320987639
300367.SZ,ST网力,-0.5748355136594439
300370.SZ,ST安控,-0.3837638376383764
300377.SZ,赢时胜,-0.2279020152076838
300388.SZ,节能国祯,-0.11454216910932787
300389.SZ,艾比森,-0.4447296446740035
300407.SZ,凯发电气,-0.14810045986966933
300409.SZ,道氏技术,-0.04524342311246605
300410.SZ,正业科技,-0.16633418576997072
300411.SZ,金盾股份,-0.19554455445544558
300422.SZ,博世科,-0.16961135466369548
